Truncated,Nbuf,NBXc,Cond1,Cond2,Cond3,Cond4
0,0,25,0,0,0,1
0,5,25,0,0,0,1
0,10,25,0,0,0,1
0,15,25,0,0,0,1
0,20,25,0,0,0,1
0,25,25,0,0,0,1
0,30,25,0,0,0,1
0,35,25,0,0,0,1
0,40,25,0,0,0,1
0,45,25,0,0,0,1
0,50,25,0,0,0,1
0,55,25,0,0,0,1
0,60,25,0,0,0,1
0,65,25,0,0,0,1
0,70,25,0,0,0,1
0,75,25,0,0,0,1
0,80,25,0,0,0,1
0,85,25,0,0,0,1
0,90,25,0,0,0,1
0,95,25,0,0,0,1
0,100,25,0,0,0,1
0,105,25,0,0,0,1
0,110,25,0,0,0,1
0,115,25,0,0,0,1
0,120,25,0,0,0,1
0,125,25,0,0,0,1
0,130,25,0,0,0,1
0,135,25,0,0,0,1
0,140,25,0,0,0,1
0,145,25,0,0,0,1
0,150,25,0,0,0,1
0,155,25,0,0,0,1
0,160,25,0,0,0,1
0,165,25,0,0,0,1
0,170,25,0,0,0,1
0,175,25,0,0,0,1
0,180,25,0,0,0,1
0,185,25,0,0,0,1
0,190,25,0,0,0,1
0,195,25,0,0,0,1
0,200,25,0,0,0,1
0,205,25,0,0,0,1
0,210,25,0,0,0,1
0,215,25,0,0,0,1
0,220,25,0,0,0,1
0,225,25,0,0,0,1
0,230,25,0,0,0,1
0,235,25,0,0,0,1
0,240,25,0,0,0,1
0,245,25,0,0,0,1
0,250,25,0,0,0,1
0,255,25,0,0,0,1
0,260,25,0,0,0,1
0,265,25,0,0,0,1
0,270,25,0,0,0,1
0,275,25,0,0,0,1
0,280,25,0,0,0,1
0,285,25,0,0,0,1
0,290,25,0,0,0,1
0,295,25,0,0,0,1
0,300,25,0,0,0,1
0,305,25,0,0,0,1
0,310,25,0,0,0,1
0,315,25,0,0,0,1
0,320,25,0,0,0,1
0,325,25,0,0,0,1
0,330,25,0,0,0,1
0,335,25,0,0,0,1
0,340,25,0,0,0,1
0,345,25,0,0,0,1
0,350,25,0,0,0,1
0,355,25,0,0,0,1
0,360,25,0,0,0,1
0,365,25,0,0,0,1
0,370,25,0,0,0,1
0,375,25,0,0,0,1
0,380,25,0,0,0,1
0,385,25,0,0,0,1
0,390,25,0,0,0,1
0,395,25,0,0,0,1
0,400,25,0,0,0,1
0,405,25,0,0,0,1
0,410,25,0,0,0,1
0,415,25,0,0,0,1
0,420,25,0,0,0,1
0,425,25,0,0,0,1
0,430,25,0,0,0,1
0,435,25,0,0,0,1
0,440,25,0,0,0,1
0,445,25,0,0,0,1
0,450,25,0,0,0,1
0,455,25,0,0,0,1
1,460,25,1,0,0,0
0,441,25,0,0,0,1
0,446,25,0,0,0,1
0,451,25,0,0,0,1
1,456,25,1,0,0,0
0,437,25,0,0,0,1
0,442,25,0,0,0,1
0,447,25,0,0,0,1
0,452,25,0,0,0,1
0,457,1,0,0,0,1
0,438,1,0,0,0,1
0,419,1,0,0,0,1
0,400,1,0,0,0,1
0,381,1,0,0,0,1
0,362,1,0,0,0,1
0,343,1,0,0,0,1
0,324,1,0,0,0,1
0,305,1,0,0,0,1
0,286,1,0,0,0,1
0,267,1,0,0,0,1
0,248,1,0,0,0,1
0,229,1,0,0,0,1
0,210,1,0,0,0,1
0,191,1,0,0,0,1
0,172,1,0,0,0,1
0,153,1,0,0,0,1
0,134,1,0,0,0,1
0,115,1,0,0,0,1
0,96,1,0,0,0,1
0,77,1,0,0,0,1
0,58,1,0,0,0,1
0,39,1,0,0,0,1
0,20,1,0,0,0,1
0,1,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
