TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
463cba34,ebdbc38f,3ebe3c80,02082050,c2048b1a,408932a6,0c9b3a81,0a34aa14,ab5ac18b,36ae1cbb,7b020800,00000000,00000000
4e4cfa35,6cdfc397,4efe3d00,040c2060,e2050c1e,409142e6,0d1c3e81,1244ea15,2c5ec193,46ee1d3c,7f021000,00000000,00000000
565d1a75,ede1c79f,5f1e4001,04102861,02458d20,44995306,4d9d4085,1a550a55,ad60c59b,570e5dbd,81061800,00000000,00000000
58002082,050c2048,b1a40893,2a60c9b3,a810a34a,a14ab5ac,18b36ae1,cbb7b020,c38b224c,b9b428d3,ab62c800,00000000,00000000
f8002082,050c2048,b1a40893,2a60c9b3,a810a34a,a14ab5ac,18b36ae1,cbb7b020,c38b224c,b9b428d3,ab62c800,00000000,00000000
080040c2,060e2050,c1e40914,2e60d1c3,e811244e,a152c5ec,19346ee1,d3c7f021,448f2254,c9f42954,af62d000,00000000,00000000
10104102,86102458,d2044995,3064d9d4,0851a550,a55ad60c,59b570e5,dbd81061,c591265c,da1469d5,b166d800,00000000,00000000
18206103,07102860,f2048a17,3068e1f4,08922750,a962f60c,9a3770e9,e3f810a2,47912a64,fa14aa57,b16ae000,00000000,00000000
20208143,08122c69,0224ca98,326cea04,28d2a852,ad6b062c,dab872ed,ec0830e2,c8932e6d,0a34ead8,b36ee800,00000000,00000000
28308183,88143079,02450b98,3470fa04,4913a854,b17b064d,1bb874f1,fc085123,c895327d,0a552bd8,b572f800,00000000,00000000
3040a184,09163481,12654c19,36750214,69542956,b583166d,5c3976f6,04187164,49973685,1a756c59,b7770000,00000000,00000000
3840c1c4,0a183c81,2285cc1a,387d0224,89d42a58,bd83268d,dc3a78fe,042891e4,4a993e85,2a95ec5a,b97f0000,00000000,00000000
4050c204,8b1a4089,32a60c9b,3a810a34,aa14ab5a,c18b36ae,1cbb7b02,0c38b224,cb9b428d,3ab62cdb,bb830800,00000000,00000000
4860e205,0c1e4091,42e60d1c,3e811244,ea152c5e,c19346ee,1d3c7f02,1448f225,4c9f4295,4af62d5c,bf831000,00000000,00000000
50610245,8d204499,53064d9d,40851a55,0a55ad60,c59b570e,5dbd8106,1c591265,cda1469d,5b166ddd,c1871800,00000000,00000000
58710286,0f2048a1,73068e1f,40892275,0a962f60,c9a3770e,9e3f810a,247912a6,4fa14aa5,7b16ae5f,c18b2000,00000000,00000000
608122c6,90224ca9,8326cea0,428d2a85,2ad6b062,cdab872e,dec0830e,2c8932e6,d0a34ead,8b36eee0,c38f2800,00000000,00000000
68814307,902450b9,83470fa0,44913a85,4b17b064,d1bb874f,1fc08512,3c895327,d0a552bd,8b572fe0,c5933800,00000000,00000000
70916348,112654c1,93675021,46954295,6b583166,d5c3976f,60418716,44997368,51a756c5,9b777061,c7974000,00000000,00000000
78a183c8,12285cc1,a387d022,489d42a5,8bd83268,ddc3a78f,e042891e,44a993e8,52a95ec5,ab97f062,c99f4000,00000000,00000000
00b1a408,932a60c9,b3a810a3,4aa14ab5,ac18b36a,e1cbb7b0,20c38b22,4cb9b428,d3ab62cd,bbb830e3,cba34800,00000000,00000000
08c1e409,142e60d1,c3e81124,4ea152c5,ec19346e,e1d3c7f0,21448f22,54c9f429,54af62d5,cbf83164,cfa35000,00000000,00000000
10d20449,953064d9,d40851a5,50a55ad6,0c59b570,e5dbd810,61c59126,5cda1469,d5b166dd,dc1871e5,d1a75800,00000000,00000000
18f2048a,173068e1,f4089227,50a962f6,0c9a3770,e9e3f810,a247912a,64fa14aa,57b16ae5,fc18b267,d1ab6000,00000000,00000000
210224ca,98326cea,0428d2a8,52ad6b06,2cdab872,edec0830,e2c8932e,6d0a34ea,d8b36eee,0c38f2e8,d3af6800,00000000,00000000
2902450b,983470fa,044913a8,54b17b06,4d1bb874,f1fc0851,23c89532,7d0a552b,d8b572fe,0c5933e8,d5b37800,00000000,00000000
3112654c,19367502,14695429,56b58316,6d5c3976,f6041871,64499736,851a756c,59b77706,1c797469,d7b78000,00000000,00000000
392285cc,1a387d02,2489d42a,58bd8326,8ddc3a78,fe042891,e44a993e,852a95ec,5ab97f06,2c99f46a,d9bf8000,00000000,00000000
4132a60c,9b3a810a,34aa14ab,5ac18b36,ae1cbb7b,020c38b2,24cb9b42,8d3ab62c,dbbb830e,3cba34eb,dbc38800,00000000,00000000
4942e60d,1c3e8112,44ea152c,5ec19346,ee1d3c7f,021448f2,254c9f42,954af62d,5cbf8316,4cfa356c,dfc39000,00000000,00000000
5153064d,9d40851a,550a55ad,60c59b57,0e5dbd81,061c5912,65cda146,9d5b166d,ddc1871e,5d1a75ed,e1c79800,00000000,00000000
5973068e,1f408922,750a962f,60c9a377,0e9e3f81,0a247912,a64fa14a,a57b16ae,5fc18b26,7d1ab66f,e1cba000,00000000,00000000
618326ce,a0428d2a,852ad6b0,62cdab87,2edec083,0e2c8932,e6d0a34e,ad8b36ee,e0c38f2e,8d3af6f0,e3cfa800,00000000,00000000
6983470f,a044913a,854b17b0,64d1bb87,4f1fc085,123c8953,27d0a552,bd8b572f,e0c5933e,8d5b37f0,e5d3b800,00000000,00000000
71936750,21469542,956b5831,66d5c397,6f604187,16449973,6851a756,c59b7770,61c79746,9d7b7871,e7d7c000,00000000,00000000
79a387d0,22489d42,a58bd832,68ddc3a7,8fe04289,1e44a993,e852a95e,c5ab97f0,62c99f46,ad9bf872,e9dfc000,00000000,00000000
01b3a810,a34aa14a,b5ac18b3,6ae1cbb7,b020c38b,224cb9b4,28d3ab62,cdbbb830,e3cba34e,bdbc38f3,ebe3c800,00000000,00000000
09c3e811,244ea152,c5ec1934,6ee1d3c7,f021448f,2254c9f4,2954af62,d5cbf831,64cfa356,cdfc3974,efe3d000,00000000,00000000
11d40851,a550a55a,d60c59b5,70e5dbd8,1061c591,265cda14,69d5b166,dddc1871,e5d1a75e,de1c79f5,f1e40000,00000000,00000000
19f40892,2750a962,f60c9a37,70e9e3f8,10a24791,2a64fa14,aa57b16a,e5fc18b2,67d1ab66,fe1cba77,f1e80000,00000000,00000000
220428d2,a852ad6b,062cdab8,72edec08,30e2c893,2e6d0a34,ead8b36e,ee0c38f2,e8d3af6f,0e3cfaf8,f2000800,00000000,00000000
2a044913,a854b17b,064d1bb8,74f1fc08,5123c895,327d0a55,2bd8b572,fe0c5933,e8d5b37f,0e5d3bf8,f4001000,00000000,00000000
32146954,2956b583,166d5c39,76f60418,71644997,36851a75,6c59b777,061c7974,69d7b787,1e7d7c79,00041000,00000000,00000000
3a2489d4,2a58bd83,268ddc3a,78fe0428,91e44a99,3e852a95,ec5ab97f,062c99f4,6ad9bf87,2e9dfc7a,00081800,00000000,00000000
4234aa14,ab5ac18b,36ae1cbb,7b020c38,b224cb9b,428d3ab6,2cdbbb83,0e3cba34,ebdbc38f,3ebe3c80,02082000,00000000,00000000
4a44ea15,2c5ec193,46ee1d3c,7f021448,f2254c9f,42954af6,2d5cbf83,164cfa35,6cdfc397,4efe3d00,040c2000,00000000,00000000
52550a55,ad60c59b,570e5dbd,81061c59,1265cda1,469d5b16,6dddc187,1e5d1a75,ede1c79f,5f1e4001,04102800,00000000,00000000
5a750a96,2f60c9a3,770e9e3f,810a2479,12a64fa1,4aa57b16,ae5fc18b,267d1ab6,6fe1cba7,7f1e8002,06103000,00000000,00000000
